Score,Priority,Name,Classification,Address,City,State,Distance_Tier,Website,Phone,Email,Contact_Name,Allows_Outside_Catering,Has_Bar,Capacity,Existing_Partner,Notes,Next_Action
8,🔥 Hot,Apple Hill Farm & Country Club,Event venue,Leominster,Leominster,MA,Local 0-15mi,applehillfarm.com,(978) 466-7804,WeddingWire,Event Coordinator,Yes,Unknown,200,No,"4.9★ WeddingWire, 30+ acres, farm setting",Email intro
8,🔥 Hot,New England Botanic Garden at Tower Hill,Event venue,11 French Drive,Boylston,MA,Near 15-30mi,nebg.org/weddings/,(508) 869-6111,worcestercountyhorticulturalsociety.tripleseat.com,Amelia Burton,Yes,Unknown,120,No,REQUIRES outside catering - TOP PRIORITY,Email intro
8,🔥 Hot,EcoTarium,Event venue,222 Harrington Way,Worcester,MA,Near 15-30mi,ecotarium.org/private-parties-rentals/facility-rentals/,(508) 793-9800,forms.gle/9owwSdqLG5Jm6fbg9,Events Manager,Yes,Unknown,150,No,Has preferred vendor list - outside catering welcome,Email intro
7,⭐ High,American Legion Post 429,Event venue,Fitchburg,Fitchburg,MA,Local 0-15mi,Check Facebook,Research needed,Research needed,Hall Manager,Yes,Unknown,150,No,"Local venue, always needs caterers",Call
6,⭐ High,Fay Club,Venues & Event Spaces,"658 Main St Fitchburg, MA 01420",658 Main St Fitchburg,MA,Local 0-15mi,thefayclub.com,thefayclub.com,,Club Manager,Yes,Unknown,150,No,Verify still operating - private club,Call
6,⭐ High,The Ashby Grove,Event venue,Ashby,Ashby,MA,Local 0-15mi,theashbygrove.com,Research needed,Research needed,Venue Manager,Yes,Unknown,150,No,"Small outdoor venue, likely flexible",Call
6,⭐ High,Launch Leominster,Event venue,Leominster,Leominster,MA,Local 0-15mi,Search Launch Leominster,Research needed,Research needed,Events Manager,Yes,Unknown,100,No,Better for corporate/kids events,Call
6,⭐ High,Broken Creek Vineyard,Event venue,Worcester area,Worcester,MA,Near 15-30mi,Research needed,Research needed,Research needed,Venue Manager,Yes,Yes,150,No,Vineyard + churrasco = good pairing,Call
5,🟡 Medium,Wachusett Mountain,Event venue,Princeton,Princeton,MA,Near 15-30mi,wachusett.com/meetings-weddings/weddings/,(978) 464-3175,weddings@wachusett.com,Wedding Coordinator,Unknown,Unknown,200,No,Need to confirm catering policy,Research needed
4,🟡 Medium,Fr. Mealey Hall,Village Hall,"3 School St, Townsend, MA 01469, United States",Townsend,MA,Local 0-15mi,http://townsendcatholic.org/,19785972291,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,Root Of Design Event Space,Banquet hall,"1734 Lakeview Ave Unit 24/25, Dracut, MA 01826, United States",Dracut,MA,Near 15-30mi,https://root-of-design-event-space.business.site/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,Franco American Club,Banquet hall,"55 W Prescott St, Westford, MA 01886, United States",Westford,MA,Near 15-30mi,http://francowestford.com/,19786927013,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,Sampa Event Hall,Wedding venue,"81 Bridge St, Lowell, MA 01852, United States",Lowell,MA,Near 15-30mi,https://sampaevents.com/,19787109990,,Hall Manager,Unknown,Unknown,150,No,BRAZILIAN CONNECTION - São Paulo reference,Research needed
4,🟡 Medium,Winton Dining Hall,Banquet hall,"950 Main St, Worcester, MA 01610, United States",Worcester,MA,Near 15-30mi,https://www.clarku.edu/offices/university-events/facilities/banquets/,15087937471,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,H E Fletcher Social & Athletic,Banquet Hall,"11 Brookside Rd, Westford, MA 01886, United States",Westford,MA,Near 15-30mi,http://www.fletcherclub.com/,19786927079,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,Acton Woman's Club,Banquet Hall,"504 Main St, Acton, MA 01720, United States",Acton,MA,Near 15-30mi,http://theactonwomansclub.org/,19782635275,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,Lenzi's Catering & Function Facility,banquet Hall,"810 Merrimack Ave, Dracut, MA 01826, United States",Dracut,MA,Near 15-30mi,http://www.lenzicatering.com/,19784582323,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,Turner Hall,banquet Hall,"60 Branch St, Clinton, MA 01510, United States",Clinton,MA,Near 15-30mi,,19783659746,,,Unknown,Unknown,100,No,From existing CSV,Research needed
4,🟡 Medium,The California Room,Event venue,Hudson,Hudson,NH,Medium 30-45mi,caliroom.com,Need to call,Research needed,Jeff,Yes,Unknown,130,No,ALLOWS outside catering - BYO food confirmed,Apply vendor list
4,🟡 Medium,Harding State,Outdoor Event Space,"PO Box 1424 Barre, MA 01005",PO Box 1424 Barre,MA,Far 45+mi,https://www.hardingallenestate.com/,(978) 355-4920,events@hardingallenestate.com,,Unknown,Unknown,100,Yes,From existing CSV,Research needed
3,⬜ Low,Shirley Meeting House,Event venue,"41 Brown Rd, Shirley, MA 01464, United States",Shirley,MA,Local 0-15mi,https://www.shirleymeetinghouse.org/,19784252600,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Groton Town Field,Event venue,"99 Main St, Groton, MA 01450, United States",Groton,MA,Local 0-15mi,https://www.grotonma.gov/events/venues/town-field-behind-the-gpl/,,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,The Groton Grange #7,Event venue,"80 Champney St, Groton, MA 01450, United States",Groton,MA,Local 0-15mi,https://grotongrange.org/,19782721210,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Letz Rage,Venues & Event Spaces,"49 John Fitch Hwy Fitchburg, MA 01420",49 John Fitch Hwy Fitchburg,MA,Local 0-15mi,letzrage.com,978) 868-0999,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Tryst Lounge,Venues & Event Spaces,"320 Main St Fitchburg, MA 01420",320 Main St Fitchburg,MA,Local 0-15mi,thetrystlounge.com,(978) 400-7906,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Chocksett Inn,Outdoor Event Space,"59 Laurelwood Road Sterling, MA 01564",59 Laurelwood Road Sterling,MA,Local 0-15mi,http://www.chocksettinn.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(978) 422-3355,chocksettinn.com/contact-us/,Event Manager,In-House Only,Yes,250,No,IN-HOUSE catering only,Skip
3,⬜ Low,Westminster Golf & CC (Golf Course),GOlf Course,"51 Ellis Rd, Westminster, MA 01473, United States",Westminster,MA,Local 0-15mi,http://www.westminstercountryclub.com/,19788745900,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,TAF Racing,Event Venue,"3 Pikes Hill Rd, Sterling, MA 01564, United States",Sterling,MA,Local 0-15mi,http://www.tri-and-fit.com/#!about-us/c2q4,19788573827,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,"Jolly Kopperschmidts German Band, LLC",Event Venue,"114 Merriam Ave, Leominster, MA 01453, United States",Leominster,MA,Local 0-15mi,,18004800829,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Settlers Crossing Golf Course,Event venue,Lunenburg,Lunenburg,MA,Local 0-15mi,Research needed,Research needed,Research needed,Event Coordinator,Unknown,Unknown,150,No,Need to verify outside catering allowed,Research needed
3,⬜ Low,Oak Hill Country Club,Event venue,Fitchburg,Fitchburg,MA,Local 0-15mi,Research needed,Research needed,Research needed,Event Manager,Unknown,Yes,200,No,Country clubs vary on outside catering,Research needed
3,⬜ Low,Bull Mansion Event Space,Event venue,"55 Pearl St, Worcester, MA 01608, United States",Worcester,MA,Near 15-30mi,,17743127274,,,Unknown,Unknown,100,No,From existing CSV,Research needed
3,⬜ Low,Nesmith House,Event venue,"229 Andover St, Lowell, MA 01852, United States",Lowell,MA,Near 15-30mi,,19784583722,,,Unknown,Unknown,100,No,From existing CSV,Research needed
